0.836903	0.899717	0.622136	0.576001
0.786457	0.862025	0.653612	0.612376
0.771258	0.829053	0.663163	0.637980
0.754057	0.817592	0.671735	0.644381
0.742216	0.810352	0.678297	0.643670
0.740737	0.799409	0.680065	0.653221
0.724823	0.795337	0.687535	0.656675
0.721793	0.789598	0.689772	0.656879
0.716693	0.791937	0.690402	0.657895
0.712687	0.788528	0.692368	0.660435
0.709469	0.779938	0.696567	0.659927
0.701912	0.776929	0.699278	0.666125
0.700466	0.780264	0.698697	0.660028
0.690521	0.778386	0.705452	0.662162
0.691333	0.778593	0.704709	0.662772
0.684612	0.773635	0.709855	0.664499
0.685232	0.772353	0.709657	0.670087
0.677805	0.765219	0.711870	0.668360
0.672712	0.764962	0.715037	0.670087
0.673293	0.764952	0.714879	0.670697
0.672399	0.762190	0.714934	0.672932
0.670326	0.764447	0.717426	0.671307
0.662555	0.760355	0.721103	0.676184
0.666117	0.760737	0.720078	0.675777
0.662532	0.758948	0.722597	0.675777
0.654322	0.760876	0.723977	0.672628
0.654686	0.760607	0.725449	0.675879
0.650420	0.758537	0.727108	0.676997
0.648957	0.760742	0.727581	0.672932
0.646347	0.757591	0.728826	0.675168
0.647182	0.757725	0.729551	0.677200
0.641651	0.757096	0.732530	0.675980
0.639262	0.761336	0.732186	0.671815
0.640108	0.761350	0.731402	0.669579
0.633817	0.757707	0.735130	0.676895
0.632804	0.756189	0.736033	0.677708
0.631285	0.759550	0.737420	0.677708
0.629336	0.759342	0.737587	0.676184
0.632320	0.769390	0.734025	0.665922
0.623935	0.759213	0.741129	0.674660
0.624600	0.758622	0.741138	0.676997
0.621912	0.756810	0.742500	0.678521
0.619438	0.758041	0.743447	0.677809
0.619888	0.757584	0.742185	0.678317
0.616310	0.757687	0.746323	0.677200
0.616474	0.758598	0.744795	0.672831
0.611545	0.758844	0.747752	0.678927
0.610580	0.758582	0.747569	0.677098
0.609515	0.759836	0.747326	0.675269
0.607792	0.758985	0.748192	0.676692
0.606379	0.755994	0.749747	0.678927
0.605491	0.763481	0.749131	0.673644
0.603815	0.759424	0.749828	0.677505
0.602558	0.758768	0.751643	0.676387
0.598902	0.757611	0.752067	0.678724
0.597661	0.758764	0.754010	0.678622
0.597574	0.759471	0.753369	0.677606
0.597347	0.762384	0.753061	0.674253
0.598751	0.758187	0.756099	0.681467
0.593096	0.758008	0.756982	0.680553
0.591379	0.758627	0.756771	0.677911
0.590474	0.759641	0.757073	0.679537
0.589453	0.760194	0.756791	0.677403
0.590999	0.758691	0.757235	0.676895
0.588719	0.757398	0.757703	0.678825
0.587402	0.760145	0.760847	0.677505
0.587576	0.763276	0.759432	0.678825
0.585782	0.760848	0.760564	0.676793
0.580492	0.760896	0.762266	0.677301
0.579111	0.759665	0.762579	0.676285
0.578940	0.759312	0.764294	0.673542
0.579891	0.763932	0.761669	0.672119
0.577428	0.758081	0.764564	0.677911
0.575931	0.765374	0.764099	0.672323
0.574595	0.765855	0.765419	0.672221
0.574779	0.763368	0.764678	0.674863
0.571890	0.762147	0.767063	0.677708
0.570862	0.763910	0.766429	0.677505
0.571789	0.762443	0.767218	0.676387
0.570839	0.761024	0.766804	0.676692
0.570755	0.763702	0.767671	0.674964
